day,origin,v1_pnl,v1_n_trades,v1_direction,v1_bar,fold_idx,v0_pnl,v0_n_trades,v0_direction,v0_bar,pnl_delta,label,v0_chose,v1_chose,opening_gap_pct,session_open_dist,vwap_dist,first15_range_pct,first15_close_position,vix_roc,atm_iv,iv_percentile,realized_vol,vix_regime,sigma_pos,omar_range_pct,omar_mid_pos_units
2025-12-11,in_sample,-1007.5607312623864,1,put,63,4,615.1250205785036,1.0,call,63.0,1622.6857518408901,1,True,True,-0.003724435344338417,0.0008402419043704867,0.0007740893634036183,0.002048908732831478,0.8393745422363281,-0.011735639534890652,0.08462601900100708,0.0,0.00034300386323593557,-0.33000001311302185,1.5073784589767456,0.0008679101592861116,1.3422819375991821
2025-12-12,in_sample,3011.2321429922417,1,put,31,4,3011.2321429922417,1.0,put,31.0,0.0,0,True,True,-0.002209472469985485,0.0004136609786655754,-0.0005263465573079884,0.0018868745537474751,0.2192307710647583,0.0006675567710772157,0.07575805485248566,0.5714285969734192,0.0003778472892008722,-1.0,-1.2226239442825317,0.0006647604168392718,0.12227074056863785
2025-12-15,in_sample,560.5848578580664,1,put,117,4,560.5848578580664,1.0,put,117.0,0.0,0,True,True,0.0047305976040661335,-0.0023377493489533663,-0.0012547915102913976,0.002594901714473963,0.020270269364118576,0.0036923077423125505,0.08674001693725586,0.9285714030265808,0.0005732873687520623,-0.33000001311302185,-1.719407558441162,0.000694019312504679,-3.1631579399108887
2025-12-16,in_sample,-634.5520818829536,1,put,101,4,-634.5520818829536,1.0,put,101.0,0.0,0,True,True,-0.0023795762099325657,-0.000835977669339627,-0.0014746974920853972,0.003310059430077672,0.17874610424041748,0.013537375256419182,0.11749450862407684,0.7857142686843872,0.0005457733059301972,-0.33000001311302185,-1.803255319595337,0.0018264934187754989,-0.6627719402313232
2025-12-17,in_sample,4317.795452639461,1,put,53,4,4317.795452639461,1.0,put,53.0,0.0,0,True,True,0.0006427878979593515,-0.0013320910511538386,-0.001131370197981596,0.00326472707092762,0.1690712422132492,0.034182723611593246,0.11166653782129288,0.7142857313156128,0.000448305974714458,-0.33000001311302185,-1.650002121925354,0.0008743227226659656,-1.3434343338012695
2025-12-18,in_sample,-1010.8862934725248,1,put,39,4,-1010.8862934725248,1.0,put,39.0,0.0,0,True,True,0.008306779898703098,-0.0009347685263492167,-0.0018363276030868292,0.003939908929169178,0.07533732801675797,0.033577535301446915,0.11799947917461395,1.0,0.0004316005506552756,-0.33000001311302185,-1.904592514038086,0.00184000248555094,-1.0080256462097168
2025-12-19,in_sample,-986.7310170740412,1,put,74,4,-986.7310170740412,1.0,put,74.0,0.0,0,True,True,0.0026969376485794783,0.004491981118917465,0.0022666051518172026,0.004491981118917465,1.0,-0.013232514262199402,0.0970400869846344,0.0,0.0004964068648405373,-0.33000001311302185,2.5761866569519043,0.0011563370935618877,3.3846640586853027
2025-12-22,in_sample,-969.3587830638404,1,put,37,4,-969.3587830638404,1.0,put,37.0,0.0,0,True,True,0.004463985096663237,-0.0006311143515631557,-0.0005541343707591295,0.002244610106572509,0.15519480407238007,0.0,0.06655604392290115,0.0714285746216774,0.0004153010668233037,-1.0,-1.1302584409713745,0.0007345996564254165,-0.8214285969734192
2025-12-23,in_sample,-887.082456732511,1,put,85,4,1178.737500380725,1.0,call,85.0,2065.819957113236,1,True,True,-0.0005933259380981326,0.0021358709782361984,0.0008164613391272724,0.0026614898815751076,0.9989088773727417,-0.006360424216836691,0.04906276986002922,0.0,0.0003277834039181471,-1.0,2.3289685249328613,0.001732219010591507,1.0347862243652344
2025-12-24,in_sample,-1013.6500000245868,1,put,36,4,1492.6699933259931,1.0,call,36.0,2506.31999335058,1,True,True,-0.0005948745529167354,0.0010112993186339736,0.00023246687487699091,0.0014930771430954337,0.6773256063461304,-0.008595988154411316,0.030725134536623955,0.0,0.00020048905571456999,-1.0,0.6060760021209717,0.0007740274304524064,0.8065420389175415
2025-12-26,in_sample,-142.1999802619219,1,put,119,4,-142.1999802619219,1.0,put,119.0,0.0,0,True,True,0.0006737504154443741,0.001218233723193407,0.0008886110153980553,0.0017812708392739296,0.9741309881210327,0.0021321962121874094,0.0433490090072155,0.0,0.00022690315381623805,-1.0,1.5740149021148682,0.0006595166050828993,1.8493449687957764
