Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 04100 ( 29.3%) | loss: 1.148922 | trade:0.34 call:0.68 put:0.32 | ATM:0.59 OTM:0.41 | stage:0 | lr: 1.50e-04 | left: 170s
step 04150 ( 29.8%) | loss: 1.134756 | trade:0.36 call:0.58 put:0.42 | ATM:0.62 OTM:0.38 | stage:0 | lr: 1.50e-04 | left: 168s
step 04200 ( 30.3%) | loss: 1.140467 | trade:0.34 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | stage:0 | lr: 1.50e-04 | left: 167s
step 04250 ( 30.8%) | loss: 1.147591 | trade:0.36 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | stage:0 | lr: 1.50e-04 | left: 166s
step 04300 ( 31.3%) | loss: 1.166112 | trade:0.42 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 165s
step 04350 ( 31.8%) | loss: 1.141960 | trade:0.33 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | stage:0 | lr: 1.50e-04 | left: 164s
step 04400 ( 32.3%) | loss: 1.149272 | trade:0.37 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 162s
step 04450 ( 32.8%) | loss: 1.130342 | trade:0.40 call:0.64 put:0.36 | ATM:0.59 OTM:0.41 | stage:0 | lr: 1.50e-04 | left: 161s

>>> Curriculum stage 1: Balanced (OTM-preferred) <<<
step 04500 ( 33.3%) | loss: 1.131891 | trade:0.37 call:0.65 put:0.35 | ATM:0.65 OTM:0.35 | stage:1 | lr: 1.50e-04 | left: 160s
step 04550 ( 33.8%) | loss: 1.104655 | trade:0.34 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | stage:1 | lr: 1.50e-04 | left: 159s
step 04600 ( 34.3%) | loss: 1.125023 | trade:0.36 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 | stage:1 | lr: 1.50e-04 | left: 158s
step 04650 ( 34.8%) | loss: 1.113848 | trade:0.36 call:0.63 put:0.37 | ATM:0.60 OTM:0.40 | stage:1 | lr: 1.50e-04 | left: 156s
step 04700 ( 35.3%) | loss: 1.110563 | trade:0.41 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | stage:1 | lr: 1.50e-04 | left: 155s
step 04750 ( 35.8%) | loss: 1.149141 | trade:0.33 call:0.62 put:0.38 | ATM:0.66 OTM:0.34 | stage:1 | lr: 1.50e-04 | left: 154s
step 04800 ( 36.3%) | loss: 1.101100 | trade:0.38 call:0.61 put:0.39 | ATM:0.58 OTM:0.42 | stage:1 | lr: 1.50e-04 | left: 153s
step 04850 ( 36.8%) | loss: 1.097954 | trade:0.40 call:0.61 put:0.39 | ATM:0.62 OTM:0.38 | stage:1 | lr: 1.50e-04 | left: 152s
step 04900 ( 37.3%) | loss: 1.092150 | trade:0.32 call:0.63 put:0.37 | ATM:0.68 OTM:0.32 | stage:1 | lr: 1.50e-04 | left: 150s
step 04950 ( 37.8%) | loss: 1.132882 | trade:0.35 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | stage:1 | lr: 1.50e-04 | left: 149s
step 05000 ( 38.3%) | loss: 1.119952 | trade:0.38 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 148s
step 05050 ( 38.8%) | loss: 1.102192 | trade:0.35 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | stage:1 | lr: 1.50e-04 | left: 147s
step 05100 ( 39.3%) | loss: 1.117436 | trade:0.34 call:0.66 put:0.34 | ATM:0.65 OTM:0.35 | stage:1 | lr: 1.50e-04 | left: 146s
step 05150 ( 39.8%) | loss: 1.095085 | trade:0.40 call:0.58 put:0.42 | ATM:0.65 OTM:0.35 | stage:1 | lr: 1.50e-04 | left: 144s
step 05200 ( 40.3%) | loss: 1.101067 | trade:0.34 call:0.64 put:0.36 | ATM:0.65 OTM:0.35 | stage:1 | lr: 1.50e-04 | left: 143s
step 05250 ( 40.8%) | loss: 1.092346 | trade:0.32 call:0.66 put:0.34 | ATM:0.68 OTM:0.32 | stage:1 | lr: 1.50e-04 | left: 142s
step 05300 ( 41.3%) | loss: 1.100940 | trade:0.33 call:0.67 put:0.33 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 141s
step 05350 ( 41.6%) | loss: 1.112229 | trade:0.30 call:0.67 put:0.33 | ATM:0.67 OTM:0.33 | stage:1 | lr: 1.50e-04 | left: 140s
