seed,day,side,bar_index,pred_dollar_score,pred_return_score,pred_win_prob,pred_clean_entry_prob,pred_stopout_risk,decision_margin,sigma_pos,iv_percentile,hl,sigma_b,iv_b,cell_id
46,2023-04-12,call,39,-0.945066511631012,-0.27072063088417053,0.4702581465244293,0.4010262191295624,0.3176044523715973,0.7732680439949036,0.056949734687805176,0.25410255789756775,-28.190022602677345,1,1,4
46,2023-04-13,call,33,-1.0712224245071411,-0.2929523289203644,0.4639354348182678,0.3850038945674896,0.29840320348739624,0.7887589335441589,-0.604660153388977,0.06709402054548264,2717.157595390546,0,0,0
46,2023-04-14,call,52,-1.0691250562667847,-0.27973851561546326,0.45865634083747864,0.37850794196128845,0.2971692681312561,0.7652263641357422,-1.91350519657135,0.2083333283662796,-142.39930798361289,0,1,1
46,2023-04-17,call,38,-1.0504404306411743,-0.2993870973587036,0.4691926836967468,0.39389768242836,0.30147817730903625,0.800017237663269,-1.501820683479309,0.03743589669466019,-633.082554142548,0,0,0
46,2023-04-18,call,32,-1.084303855895996,-0.3115588128566742,0.471169114112854,0.39754393696784973,0.29673105478286743,0.8911671042442322,-2.8895485401153564,0.039230767637491226,-382.8626885306122,0,0,0
46,2023-04-19,call,31,-1.1700034141540527,-0.30160221457481384,0.45480483770370483,0.365638792514801,0.28415361046791077,0.7374040484428406,1.318658709526062,0.07794871926307678,926.342593777618,2,0,6
46,2023-04-20,call,35,-1.1385599374771118,-0.30482572317123413,0.46071648597717285,0.3763674795627594,0.2880539298057556,0.7538714408874512,0.45717498660087585,0.10226495563983917,162.59448006860237,1,0,3
46,2023-04-21,call,31,-0.9378495216369629,-0.28827103972435,0.4790949821472168,0.41845789551734924,0.3192698061466217,0.9275314807891846,-3.039553642272949,0.16440171003341675,100.69230506573196,0,1,1
46,2023-04-24,call,105,-1.2519577741622925,-0.31644129753112793,0.4516119062900543,0.358781635761261,0.2717801630496979,0.7678399682044983,-2.1287083625793457,0.030726496130228043,15.538128725620311,0,0,0
46,2023-04-25,call,38,-1.0956472158432007,-0.3027358651161194,0.46520736813545227,0.38753244280815125,0.2948228120803833,0.8449311852455139,-1.110465168952942,0.053717948496341705,-310.8185718393321,0,0,0
46,2023-04-26,call,30,-0.8842536807060242,-0.2779313027858734,0.4801143705844879,0.4217711091041565,0.3266851305961609,0.840743362903595,-0.7954983115196228,0.2222222238779068,-465.10036852226955,0,1,1
46,2023-04-27,call,30,-1.1488908529281616,-0.30192503333091736,0.4573238790035248,0.37165766954421997,0.28673574328422546,0.7706236243247986,1.6696834564208984,0.06623931974172592,2411.9056962972068,2,0,6
46,2023-04-28,call,31,-1.2650588750839233,-0.3093639612197876,0.44537755846977234,0.34799638390541077,0.27164822816848755,0.7381249070167542,0.7718837261199951,0.12893162667751312,1856.3926721413197,1,0,3
