day,bar_index,window_idx,rule,pnl,pred_score,label,v0_pnl,v1_pnl
2024-12-17,39,8,V0,-695.4000429272652,0.000567699805962356,0.0,-695.4000429272652,-695.4000429272652
2024-12-18,30,8,V1,-567.1681860685349,0.6606451503924616,0.0,151.53495483115316,-567.1681860685349
2024-12-19,30,8,V0,-951.9917514337372,3.7280522357805694e-05,0.0,-951.9917514337372,-951.9917514337372
2024-12-20,30,8,V0,-1161.1452815961889,4.056897775013544e-05,0.0,-1161.1452815961889,-1161.1452815961889
2024-12-23,30,8,V0,-1095.747787068556,7.61641356529066e-05,0.0,-1095.747787068556,-1095.747787068556
2024-12-24,30,8,V1,-1129.5749427214903,0.9320069364114236,0.0,3091.482818592023,-1129.5749427214903
2024-12-30,30,8,V0,-1113.893825891337,1.2735767762893618e-05,0.0,-1113.893825891337,-1113.893825891337
2024-12-31,39,8,V0,487.7815141786241,1.304110500289394e-05,0.0,487.7815141786241,487.7815141786241
2025-01-02,118,8,V0,4391.022604427263,0.023596653651042174,0.0,4391.022604427263,4391.022604427263
2025-01-13,30,8,V0,445.3111263779302,0.004656452464630443,0.0,445.3111263779302,-1098.5250606807035
2025-01-14,30,8,V0,-959.5453261361648,4.1468529650779964e-05,0.0,-959.5453261361648,-959.5453261361648
2025-01-15,37,8,V0,-462.04237377239485,0.002309357418445965,0.0,-462.04237377239485,-918.3741247427004
2025-01-16,31,8,V0,-689.4208224419505,0.0011918418779879839,0.0,-689.4208224419505,-689.4208224419505
2025-01-22,30,8,V0,-754.4910343075591,6.78632886643196e-05,0.0,-754.4910343075591,-754.4910343075591
2025-01-23,30,8,V0,-990.0133346378308,0.0002918242361480319,0.0,-990.0133346378308,-990.0133346378308
2025-01-24,30,8,V0,1780.6039214511172,0.00029744484323552216,0.0,1780.6039214511172,1780.6039214511172
2025-02-03,36,8,V0,-1087.861856972277,1.3142758197238133e-05,0.0,-1087.861856972277,-1087.861856972277
2025-02-04,31,8,V0,-1042.7179304948477,1.4174728770365537e-05,0.0,-1042.7179304948477,-1042.7179304948477
2025-02-05,42,8,V0,-1082.102273054421,6.337179995193367e-05,0.0,-1082.102273054421,-1082.102273054421
2025-02-06,30,8,V0,-554.4735284043619,0.00018460624784582324,0.0,-554.4735284043619,-554.4735284043619
2025-02-07,31,8,V0,3097.508561551532,0.00015645824352913994,0.0,3097.508561551532,3097.508561551532
